specObjID,ra,dec,z,class
7333046401301671936,0.0206815509999956,24.567586,0.486405,GALAXY
4746877112265928704,0.0206976989999816,-0.27834673,2.879372,QSO
6879276298821890048,0.0207879690000254,20.703268,0.2939906,GALAXY
4746874363486859264,0.0209319410000148,-0.64139747,2.661875,QSO
844558008536033280,0.020953406,15.157237,0.004036344,STAR
8069404457731551232,0.0212802130000114,-10.813916,2.714655,QSO
4902258176944697344,0.0212888049999833,-3.0376519,0.6295325,GALAXY
6946961134461841408,0.0213641099999791,19.478504,0.5964682,GALAXY
1732904591785224192,0.021381,1.227814,0.1616413,GALAXY
6926542652503158784,0.0213897230000271,8.6278115,2.001412,QSO
3179648613999470592,0.021501,29.127031,-0.0008805803,STAR
731960319726872576,0.02154705,-9.2179573,0.1343914,GALAXY
6954789382843461632,0.0216213960000005,13.707661,3.009077,QSO
1732801512570120192,0.021726999,0.146965,0.2089721,GALAXY
6960405961807425536,0.0218755280000096,10.0084,0.4853477,GALAXY
4959860492350451712,0.0218899999999849,5.8792152,0.5262928,GALAXY
4746987063428706304,0.0219236479999836,1.2170109,0.5222375,GALAXY
6950327839032537088,0.021985653999991,17.930937,0.5834929,GALAXY
3156026155023230976,0.022001,28.568365,-0.0002981324,STAR
7745220600016859136,0.0220691719999877,23.282679,0.2282785,GALAXY
5106038914096492544,0.0220809599999825,6.3160787,0.6134726,GALAXY
8044774846892797952,0.0222102820000032,35.741273,0.3145028,GALAXY
8043633004017020928,0.0223345609999797,34.535178,-0.0007198174,STAR
4746989262451961856,0.0225563640000246,0.92404093,0.4948581,GALAXY
8046847701306503168,0.0225916239999719,-7.8598057,0.5310049,GALAXY
8044767700067217408,0.0227870069999767,35.352968,0.0004959681,STAR
7918727383606816768,0.0228408739999963,-4.3916655,0.33202,GALAXY
6960407061319053312,0.0228471280000235,10.298897,0.5013325,GALAXY
4746987888062427136,0.0228552089999994,1.1345059,0.5091359,GALAXY
4970999644265574400,0.0228820269999801,6.3546428,1.086654,QSO
4902362905427243008,0.0229687809999746,-2.0804688,0.3118347,GALAXY
7919682309438763008,0.022969269999976,-5.5047136,2.0892,QSO
4902356858113290240,0.0229758899999979,-1.4575518,2.273816,QSO
435745559106578432,0.023121653,-1.2163687,0.03167664,GALAXY
8046848800818130944,0.0232043280000198,-7.7661842,0.08530945,GALAXY
8043503811400757248,0.0232533689999741,33.02829,0.3319433,GALAXY
771358021379975168,0.023387419,1.116467,3.042468E-05,STAR
8046855947643711488,0.0235090240000204,-8.1412344,3.885116,QSO
844474445652322304,0.023755986,14.412441,0.1714089,GALAXY
7919679285781786624,0.0237922769999841,-5.9607087,0.5774367,GALAXY
6960412283999285248,0.0239158300000213,10.624461,0.1709902,GALAXY
2676293007703120896,0.0240000000000009,56.181061,-0.0003418252,STAR
7919757625985265664,0.0240779679999719,-4.3353249,1.640517,QSO
8046853198864642048,0.0240970099999913,-8.2377862,0.5720347,GALAXY
7333026060336558080,0.0241260070000067,24.138202,0.4612917,GALAXY
1676509266812364800,0.024205,-0.609134,7.058315E-05,STAR
8032280821371695104,0.0242543279999836,28.761272,0.5380034,GALAXY
6949220631343460352,0.0242638679999914,16.364267,0.5277697,GALAXY
4970978478666739712,0.0242747870000244,5.206847,2.013157,QSO
8043635752796090368,0.024503822999975,34.047874,3.123795,QSO
6960404312539983872,0.0245188339999913,10.028959,0.6712011,GALAXY
4902263124747022336,0.0246543380000048,-2.7511259,1.269089,QSO
3156028903802300416,0.024685,28.481815,-0.0007359292,STAR
1676589256283285504,0.0247,0.973248,-0.0002826345,STAR
3179647789365749760,0.024703,29.187248,-0.0002296788,STAR
5104967714943463424,0.0247448349999786,8.7134399,0.4212328,GALAXY
4902258726700511232,0.0247918389999882,-3.084356,0.3513347,GALAXY
6911900181747920896,0.0248192509999967,15.429902,0.1735107,GALAXY
6954859751587639296,0.0248241830000211,14.886148,2.498578,QSO
6954792406500438016,0.0248705289999975,14.124122,0.4816472,GALAXY
5106138145020899328,0.0248887259999719,8.2510384,0.4820031,GALAXY
4837035141967310848,0.0249518100000046,2.2547391,0.5314005,GALAXY
3153744392896931840,0.02502,24.97951,-4.237392E-05,STAR
7919754877206196224,0.0250600510000254,-3.8928096,0.6753696,QSO
6949221730855088128,0.0251671330000249,16.384507,0.5318546,GALAXY
4746880685678718976,0.0251995599999759,-0.048029816,0.5410594,GALAXY
2954452963382290432,0.025303,-3.921527,-0.000315986,STAR
6949163456738816000,0.0253483370000254,15.567823,0.5482218,GALAXY
8046847426428596224,0.0253549650000195,-7.8887796,0.08281171,GALAXY
8047041490230898688,0.0253903550000132,-7.0167001,0.5619853,GALAXY
3179656035702958080,0.025442,28.450875,-0.001188359,STAR
844548662687197184,0.025454582,15.875382,0.1567281,GALAXY
8044765226166054912,0.0254608039999766,35.572323,0.5325491,GALAXY
8032328925005410304,0.0254958969999848,30.105365,1.928567,QSO
6879494551880003584,0.0255170230000203,21.474052,0.50762,GALAXY
4815513576360570880,0.0255900000000224,3.2685844,0.7230566,GALAXY
7919683134072483840,0.0256642109999916,-5.9282183,0.5739621,GALAXY
4837037890746380288,0.025766917999988,2.9535779,0.4421702,GALAXY
7742966601263804416,0.0259060170000112,27.12948,-0.0002033289,STAR
8047033518771597312,0.0259481499999765,-6.2763802,0.4237734,GALAXY
8043642624743763968,0.0259704069999884,33.695588,0.5562971,GALAXY
4902363730060963840,0.0259728519999953,-2.1669022,0.4989666,GALAXY
8043501337499594752,0.0260259230000202,32.767251,0.4586214,GALAXY
3177384993378822144,0.026035,25.245729,-0.0001383746,STAR
7742942686885900288,0.026096965000022,26.097852,0.5583398,GALAXY
6960411459365564416,0.0261610960000098,10.591971,2.882593E-05,STAR
1676607398225143808,0.026265,0.146661,1.230536E-05,STAR
7330977120367865856,0.0262823479999952,28.489184,0.5854293,GALAXY
6960403487906263040,0.0262949390000244,9.6793411,2.747641,QSO
7742973198333571072,0.0263616710000179,26.301044,0.3096891,GALAXY
4746875462998487040,0.0263957999999889,-1.0093475,0.5977175,QSO
2954410082428807168,0.026413,-5.185681,0,GALAXY
3177372898750916608,0.026479,24.587194,0.3154418,GALAXY
1228386808744667136,0.026604,-1.126656,-5.408816E-05,STAR
8047043139498340352,0.0266184330000101,-6.9013647,3.250361,QSO
8069404182853644288,0.026642250000009,-10.773608,-0.000398593,STAR
2954455987039266816,0.026702,-4.365491,-4.340108E-05,STAR
4746997233911263232,0.0267573749999883,0.22032057,0.6043195,GALAXY
8043502162133315584,0.0267587999999819,32.726479,2.215489,QSO
771361045036951552,0.026827422,0.76772884,0.4339769,GALAXY
8043491716772851712,0.027132698999992,31.861095,0.207665,GALAXY
771369841129973760,0.027230757,0.51533164,1.823367,QSO
3153741369239955456,0.027244008,25.207496,-0.0006714875,STAR
6988503982277324800,0.0272654269999748,17.880713,-0.0001536294,STAR
5106140069166247936,0.0273777560000212,8.3823474,0.4879995,GALAXY
5106058980183699456,0.0273986639999748,7.0796931,0.1288346,GALAXY
7330759691943473152,0.0274316219999946,27.368781,2.427292,QSO
6960406786441146368,0.0275463280000281,10.113326,0.3723766,GALAXY
7316320355911135232,0.0276225110000041,31.876263,0.2117319,GALAXY
1732896895203829760,0.027655,0.74514598,0.08169543,GALAXY
4959594410536529920,0.0277899999999818,5.5571241,0.56289,GALAXY
435859358560053248,0.027802144,0.50462729,0.1091058,GALAXY
7333220399016767488,0.0278666469999962,24.828923,0.555518,GALAXY
7745224173429649408,0.0278688089999832,22.971435,0.6699017,QSO
844470322483718144,0.02795121,14.332932,0.2220295,GALAXY
7316143334539063296,0.027983259999985,30.325903,2.004653,QSO
2676292732825213952,0.02800000000002,56.342546,3.497792,QSO
6960407885952774144,0.0281037899999887,10.222099,1.028875,QSO
